modelo,vector_size,window,epochs,sg,min_count,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
ExtraTrees,50,3,20,1,1,0.6691788550382152,0.012671831957786935,0.6548873615220556,0.007172817300919748,0.9739247923540789,0.01289798377883098,0.7831349599300232,0.008185158402979899,0.7681676127729161,0.023959219004220073,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.6695035234506398,0.01578431284213308,0.657833629658357,0.008905228686406103,0.9611474570485834,0.018867492836110545,0.7810225085356187,0.010881026963334105,0.7208886890156052,0.01711549537079754,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.6727704328202508,0.015210458796789925,0.6599116330429002,0.008985380244687756,0.9627403572647628,0.01794442638999099,0.7830072776755441,0.010284757925367698,0.7244651942535607,0.01736930827631805,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.7044463605203211,0.02137008820660997,0.6980239499920748,0.014353926621478106,0.9137558311525771,0.026741057308756762,0.7912759345044884,0.015588050428935695,0.7860217733176298,0.024096324174620636,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.7100008515892785,0.022577010147503206,0.7008202982178217,0.014364474884215233,0.9201388098759814,0.02339657939880049,0.7955541596494259,0.016071443343433876,0.7881820514595219,0.023845669142829862,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7099955291562879,0.022965790626821754,0.7197433782255841,0.01788611051122404,0.8642393901467743,0.026238578692764886,0.7851711286920822,0.016869080164529458,0.7841027146726522,0.025027713852519444,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7302495156585979,0.026061394505116728,0.7478787450437757,0.021539250444366814,0.8461372169757653,0.027693100345765616,0.7937041202644509,0.01954924760462928,0.796368478111656,0.024265583991556938,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7459272742756169,0.023800185219313565,0.7668795748218253,0.023514528240933922,0.8429343497553761,0.02301820815951573,0.8028103352225301,0.017402285069194504,0.8054702444606108,0.023459846350019933,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,5,20,1,1,0.7400417278746461,0.02038285486862813,0.7599354278002435,0.021617857896990306,0.8434520423256343,0.01829324391962813,0.7992716362819087,0.01443367377094488,0.8114215754675087,0.021798881422658158,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7429860978050287,0.017962015892826047,0.7682061442394295,0.02338799920724615,0.833863351917169,0.018722784403779696,0.7992900953906028,0.011738552543420055,0.8191569082473498,0.019746489465091402,"{'model__max_depth': 6, 'model__n_estimators': 100}"
